Country,forest_coverage,biodiversity_index,protected_areas,deforestation_rate,carbon_sequestration,soil_erosion,land_degradation,rural_population,population_density
Vietnam,36.217808319315374,6.505159298527952,14.832707839058326,36.583105680035864,53.12845873903581,7.987879521665811,55.02090285816652,35.91214206090353,468.7158393387827
Guinea-Bissau,76.55000144869413,94.88855372533332,23.994362910538698,123.38493861961146,279.8362861599046,13.01381078127801,41.65507286366339,34.63937860274501,351.05460037073675
Bosnia and Herzegovina,61.23957592679836,96.56320330745594,9.932347874116694,115.74374489212764,237.83495141695056,13.037064504457,26.951489552435035,78.38063328514673,289.3299733437888
Lesotho,51.90609389379256,80.83973481164611,33.07689432639139,111.75236909013786,149.9485147118286,11.17971899742041,27.46047873063305,43.58586348000563,57.61648194767658
Indonesia,20.92130483097056,30.46137691733707,7.609272528791979,46.45032565874237,103.93941530015726,2.715505631033758,46.297783943511966,73.5227933106268,311.35354108259315
Singapore,20.919616423534187,9.767211400638388,39.541042781018106,25.24950076720118,201.9268271316326,16.87074741619552,54.85551299762886,57.86831755983577,495.126386551089
Saint Lucia,14.06585285177396,68.42330265121569,32.02856692538301,76.13058071210239,474.3093667606336,7.094821234462981,54.354321213255865,67.6886782124989,78.64116746589677
Turkmenistan,70.63233020424546,44.01524937396013,11.955048853696034,73.35809321591114,195.44131940933983,4.54385169759723,48.99377729288119,50.15822558631153,263.981529658231
Kenya,52.078050822024615,12.203823484477883,5.193274099326084,36.843972169424646,283.45577978451473,1.7747276895405144,42.10158230771439,54.614233077581545,439.9128052446982
United States,59.56508044572318,49.51769101112702,33.5411499959192,81.51203054023084,366.35853150283,12.226965920576594,14.20699824975244,49.55106162913184,372.97662269956015
Cabo Verde,11.440914600706172,3.43885211152184,29.7400070346666,18.113758955774927,213.63332107068229,13.873722875003368,18.081435704730687,31.71457926788267,351.5377130876813
Guinea-Bissau,77.8936896513396,90.9320402078782,30.51525088143456,128.1184197912176,487.3019372244323,1.315168749629267,54.92770942635397,63.34712691569032,354.2172011536836
Dominica,68.27098485602951,25.87799816000169,31.9944621340081,68.24141822195351,483.1012827239501,10.729768107686338,40.32145298297949,36.846341746451344,186.15066409768
Liberia,24.86373774747933,66.2522284353982,7.591562810693162,68.3194955477303,163.30203312141387,5.303419728760821,10.459852580831482,21.45895798588723,153.86000368960174
Venezuela,22.72774770449704,31.171107608941096,17.546300499049543,43.78396625284339,273.7618276515734,13.258283017779547,15.073577143301604,58.72833775443007,406.5869661844717
Saint Lucia,22.83831568974037,52.00680211778108,9.05541708337954,57.40959630098025,185.39523941754635,4.312962151094837,43.17508845540279,30.626640764422937,406.9555633927986
Trinidad and Tobago,31.29695700716764,54.67102793432797,35.208619905645776,77.41828218852797,178.17822246986043,14.127817023946854,10.253079192310937,76.42751506117486,434.8654361042508
Kazakhstan,46.73295021425665,18.485445552552704,26.815434438964527,45.173670562030836,66.59912630953976,8.347971579710212,18.04040257087493,77.23571462015525,457.4878707526709
Congo,40.2361513049481,96.95846277645586,16.58143086984272,104.22461364284607,324.3039502909536,18.79786978599796,37.436689468329305,74.89186341322691,260.5577754418595
Malawi,30.386039813862933,77.51328233611146,7.224542260010827,75.10052975731526,276.2055604529877,3.612897938773872,44.59475988463466,42.20952201532666,255.74298439672785
Central African Republic,52.829702630566565,93.9498941564189,15.884381260048176,93.57513193926248,73.16543806249521,7.480260669954911,42.59806297513003,20.92739699173205,401.16463769371984
Malaysia,19.76457024564293,89.48273504276489,16.381416270936146,89.65099101551601,175.39090890647515,3.155996903571192,21.213465473027988,75.69911375526353,328.48232608110493
Botswana,30.45012539746527,59.78999788110851,30.536216241832243,76.54010687046664,458.7196486849942,18.569178747292693,45.6089610673768,45.69104889903886,353.96376985627467
Austria,35.645329030558415,92.18742350231167,27.31451149743246,96.05613166432607,157.8028508001376,17.66944771423864,21.86245437484001,77.99928914262017,399.93840802368953
Guinea-Bissau,41.92489889519251,8.84925020519195,36.05244599017143,50.206356528739285,115.2026924410504,5.900890926587957,26.269984907963387,77.81719862535516,446.1026174906075
Malawi,64.96231729751095,19.59828624191452,21.527522380668227,47.346215983493735,270.2537421249034,13.5396968746494,47.32457025590121,71.1805673280416,175.61762685725253
Chad,23.977164751085184,4.522728891053807,9.18579860784056,18.591297657245033,493.5427043497703,16.527221803823103,42.48164495236073,37.66693352417514,194.03564679357257
Tuvalu,45.996410688952814,32.53303307632643,29.963567552804825,57.07778282124983,158.9248721801752,11.548815420389785,52.4611705247089,43.10586371611552,56.05115052202581
Portugal,51.46901982034297,38.8677289689482,31.62747670159141,73.98083216759976,352.4609963326453,11.063360988764122,42.88064461501717,71.06820029101141,293.35726908812524
San Marino,13.25152889039984,27.134903177389592,24.64470191493237,43.07389141109273,392.7288268979229,5.595193527108582,38.41543016677358,39.01532030937666,27.611714160403626
Uruguay,52.528139633100686,82.87375091519293,31.98385129840964,102.93296306671216,156.93689479657985,2.768952588312085,14.683738391404624,30.16956480116555,238.14302888490548
Liechtenstein,21.936688658110405,35.67533266935893,22.28284587275368,48.084276824379316,377.6973568753368,18.047099401113208,28.38579015297168,53.40807574750101,275.8958710067125
