name;income_group;pop_n;pop_u;wat_bas_n;wat_lim_n;wat_unimp_n;wat_sur_n;wat_bas_r;wat_lim_r;wat_unimp_r;wat_sur_r;wat_bas_u;wat_lim_u;wat_unimp_u;wat_sur_u
Tokelau,NAN,1.350000024,0,99.70767665,0,0.2923233459,0,99.70767665,0,0.2923233459,0,NAN,NAN,NAN,NAN
Niue,NAN,1.618000031,46.20200348,97.01087618,0,2.989123822,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Falkland Islands (Malvinas),NAN,3.48300004,78.50799561,95.3089274,0,4.691072596,0,78.17294282,0,21.82705718,0,100,0,0,0
Montserrat,NAN,4.999000072,9.114999771,98.07748262,0,1.922517378,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Saint Pierre and Miquelon,NAN,5.795000076,89.96199799,91.4,0,8.6,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Saint Helena,NAN,6.071000099,40.08200073,99.1,0,0.9,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Saint Barthelemy,NAN,9.885,100,100,0,0,0,NAN,NAN,NAN,NAN,100,0,0,0
Nauru,High income,10.83399963,100,100,0,0,0,NAN,NAN,NAN,NAN,100,0,0,0
Wallis and Futuna Islands,NAN,11.24600029,0,99.14328736,0,0.856712639,0,99.14328736,0,0.856712639,0,NAN,NAN,NAN,NAN
Tuvalu,Upper middle income,11.79199982,64.01399994,100,0,0,0,100,0,0,0,100,0,0,0
Cook Islands,NAN,17.56399918,75.49500275,99.97161022,0,0.0283897827,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Palau,Upper middle income,18.09199905,80.98799896,99.6575455,0,0.3424544984,0,99.75698503,0,0.2430149677,0,99.63420199,0,0.3657980078,0
British Virgin Islands,High income,30.23699951,48.51499939,99.86438356,0,0.1356164384,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Gibraltar,High income,33.69100189,100,100,0,0,0,NAN,NAN,NAN,NAN,100,0,0,0
San Marino,High income,33.93799973,97.49900055,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Liechtenstein,High income,38.13700104,14.41600037,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Saint Martin (French part),High income,38.659,100,99.99927139,0,0.0007286105507,0,NAN,NAN,NAN,NAN,99.99927139,0,0.0007286105507,0
Monaco,High income,39.24399948,100,100,0,0,0,NAN,NAN,NAN,NAN,100,0,0,0
Faeroe Islands,High income,48.86500168,42.39799881,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
American Samoa,Upper middle income,55.1969986,87.15299988,99.77377166,0,0.2262283415,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
