user_id,book_id,title,rating
314,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
439,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
588,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
1169,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
1185,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
2077,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
2487,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
2900,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
3662,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
3922,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
5379,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
5461,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
5885,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
6630,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
7563,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
9246,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
10140,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
10146,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
10246,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
10335,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
10610,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
10944,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
11854,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
11927,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
12471,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
13282,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
13544,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
15494,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
16377,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
16913,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
17434,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
17663,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
17984,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
18031,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
18313,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
18361,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
20076,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
20467,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
20848,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
21228,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
21487,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
21713,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
22602,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
23576,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
23612,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
24326,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
24389,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
24499,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
24834,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
24845,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
25164,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
25182,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
25214,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
26145,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
26629,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
26661,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
28158,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
28767,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
29123,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
29703,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
30681,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
31001,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
32055,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
32305,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
32592,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
32635,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
32748,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
32923,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
33065,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
33697,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
33716,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
33872,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
33890,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
37284,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
37834,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
38080,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
38082,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
38475,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
39423,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
41074,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
42404,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
43985,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
44243,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2
44397,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
45269,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
45493,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
46977,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
47476,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
47746,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
47800,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
48482,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
49298,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
50104,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
50342,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
51166,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
51460,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
51480,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
51838,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
52036,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2
53245,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
1169,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
3022,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4
3922,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
5115,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4
5436,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
5461,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4
5885,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4
6063,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",1
6342,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
6630,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
8167,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
9731,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4
10111,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
10140,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
10288,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
10509,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
10610,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
10751,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
